ChainNode,QuickNode,Alchemy,PublicNode,Infura,Ankr,GetBlock
536.2468ms,906.3809ms,961.5599ms,1.6336659s,947.2426ms,133.7438ms,762.1435ms
189.5892ms,301.456ms,269.8466ms,520.111ms,236.3981ms,280.3205ms,290.9869ms
194.7172ms,302.1035ms,266.2202ms,58.4ms,233.9929ms,108.0597ms,228.8947ms
183.238ms,301.9568ms,259.8957ms,60.0459ms,246.4255ms,50.3604ms,234.6892ms
185.9384ms,303.4892ms,267.9967ms,56.4678ms,237.4508ms,99.3861ms,248.5277ms
205.8858ms,322.161ms,253.2514ms,568.6291ms,236.1532ms,86.8177ms,281.1089ms
232.3987ms,364.1988ms,278.727ms,59.3198ms,317.3778ms,95.1323ms,306.3221ms
224.5301ms,328.9337ms,262.8236ms,168.9471ms,289.1425ms,59.5347ms,265.3832ms
187.5261ms,310.3867ms,320.0374ms,600.3379ms,246.5606ms,109.6104ms,325.1409ms
200.5621ms,303.3575ms,912.4559ms,70.9331ms,283.5591ms,71.7096ms,276.2021ms
202.0982ms,317.8331ms,265.674ms,80.1135ms,258.6983ms,112.8842ms,287.3253ms
191.8151ms,302.2041ms,253.7657ms,585.3983ms,233.6562ms,40.513ms,248.6948ms
191.8437ms,292.2392ms,235.493ms,55.8205ms,238.6599ms,91.2011ms,231.5596ms
198.6351ms,281.1939ms,250.0607ms,56.9481ms,233.9618ms,45.7213ms,233.4432ms
183.7266ms,296.6797ms,243.4842ms,55.3324ms,228.0935ms,54.535ms,257.3588ms
190.3217ms,302.5264ms,262.0107ms,561.4847ms,237.0599ms,113.6509ms,270.0777ms
187.234ms,296.1905ms,252.818ms,61.3215ms,241.6115ms,50.9975ms,277.3542ms
193.6417ms,301.2662ms,247.403ms,56.6637ms,232.636ms,123.3129ms,265.9693ms
187.1756ms,293.8949ms,242.3442ms,63.8581ms,234.5446ms,55.986ms,260.3744ms
183.0208ms,297.1126ms,241.3423ms,520.1637ms,245.688ms,108.2589ms,398.8879ms
193.2019ms,311.8096ms,255.4382ms,57.3304ms,229.8131ms,46.0228ms,243.0475ms
194.7555ms,315.9697ms,289.0559ms,67.8558ms,234.216ms,111.5696ms,242.8536ms
183.8933ms,291.7776ms,251.7452ms,59.0219ms,231.1134ms,45.5888ms,244.7723ms
188.8421ms,296.3193ms,249.0819ms,571.3ms,237.0056ms,99.6527ms,257.8497ms
190.8687ms,303.6737ms,257.8114ms,61.9952ms,231.7429ms,50.1794ms,232.3563ms
186.112ms,303.3413ms,256.6261ms,75.6488ms,231.8616ms,117.9875ms,244.9833ms
186.7796ms,311.567ms,246.344ms,62.9391ms,230.856ms,50.1267ms,352.9866ms
193.0884ms,300.7869ms,249.8488ms,520.3058ms,229.6505ms,100.9739ms,278.4585ms
192.1006ms,305.0334ms,250.4415ms,55.3904ms,248.3092ms,90.649ms,295.6218ms
196.6144ms,297.6148ms,251.5424ms,154.5605ms,234.8463ms,104.719ms,266.492ms
189.316ms,309.7924ms,257.6369ms,59.793ms,237.3204ms,42.9283ms,241.809ms
193.0137ms,308.4134ms,244.1384ms,620.9845ms,231.4815ms,100.3077ms,245.08ms
197.3249ms,313.6887ms,250.414ms,58.3798ms,234.9187ms,44.611ms,199.3601ms
192.0012ms,292.2377ms,245.8844ms,54.9131ms,238.9339ms,189.941ms,293.9651ms
188.66ms,292.8647ms,246.5911ms,62.0901ms,239.6563ms,108.978ms,234.0313ms
201.6178ms,294.1954ms,248.2665ms,550.729ms,231.7151ms,46.9579ms,307.1836ms
194.2227ms,299.4689ms,248.1043ms,60.5488ms,239.9698ms,102.4471ms,266.4678ms
199.2101ms,305.4031ms,238.7931ms,86.5671ms,235.0679ms,47.5475ms,268.6378ms
184.0335ms,295.9479ms,240.6444ms,60.8763ms,229.847ms,116.8477ms,247.6538ms
